job_title,experience_level,salary_in_usd,company_location
Data Scientist,EN,120000,US
Data Scientist,EN,100000,US
Data Specialist,MI,44000,US
Data Specialist,MI,36000,US
Data Specialist,MI,44000,US
Data Specialist,MI,36000,US
Machine Learning Engineer,SE,160000,US
Data Analyst,EN,86100,US
Data Analyst,EN,75000,US
Data Analyst,MI,90000,US
Data Analyst,MI,75000,US
Data Architect,SE,218657,US
Data Architect,SE,149084,US
Data Engineer,MI,222000,US
Data Engineer,MI,98000,US
Data Engineer,SE,163695,US
Data Engineer,SE,109000,US
Data Scientist,SE,282500,US
Data Scientist,SE,207500,US
Data Engineer,SE,243000,US
Data Engineer,SE,127900,US
Data Engineer,MI,88000,US
Data Engineer,MI,56000,US
Data Analyst,EN,48000,US
Data Analyst,EN,42000,US
Data Analyst,SE,234000,US
Data Analyst,SE,146000,US
Data Analyst,EN,102892,CA
Data Analyst,EN,81359,CA
Data Analyst,SE,194000,US
Data Analyst,SE,116000,US
Data Analytics Manager,EN,190000,US
Data Analytics Manager,EN,158000,US
Analytics Engineer,SE,140000,US
Analytics Engineer,SE,120000,US
Data Engineer,SE,223600,US
Data Engineer,SE,152200,US
Data Engineer,MI,123400,US
Data Engineer,MI,60500,US
Data Specialist,MI,72000,US
Data Specialist,MI,66000,US
Analytics Engineer,SE,190300,US
Analytics Engineer,SE,129750,US
Machine Learning Engineer,SE,235000,US
Data Analyst,EN,21006,FR
Data Analyst,EN,18644,FR
Data Scientist,SE,249700,CA
Data Scientist,SE,166500,CA
Data Scientist,MI,231250,US
Data Scientist,MI,111000,US
Data Scientist,SE,270250,US
Data Scientist,SE,199750,US
Data Governance,EX,185000,US
Data Governance,EX,110000,US
Data Scientist,SE,143000,US
Data Scientist,SE,104000,US
Data Scientist,SE,234000,US
Data Scientist,SE,117000,US
Data Governance Lead,SE,229500,US
Data Governance Lead,SE,123500,US
Data Analyst,SE,132200,US
Data Analyst,SE,115900,US
Data Analyst,SE,145500,US
Data Analyst,SE,115900,US
Data Engineer,SE,205270,CA
Data Engineer,SE,110530,CA
Data Engineer,SE,219400,US
Data Engineer,SE,131600,US
Data Engineer,SE,180000,US
Data Engineer,SE,90000,US
Data Scientist,SE,197400,US
Data Scientist,SE,158600,US
Data Product Manager,MI,150000,US
Data Product Manager,MI,120000,US
Data Scientist,SE,220000,US
Data Scientist,SE,96600,US
Data Scientist,MI,172000,US
Data Scientist,MI,75600,US
Data Scientist,MI,176000,US
Data Scientist,MI,124000,US
Data Scientist,MI,153000,US
Data Scientist,MI,113357,US
Data Scientist,SE,230000,US
Data Scientist,SE,200000,US
Data Scientist,MI,88421,LT
Data Scientist,MI,50526,LT
Data Specialist,EN,56000,US
Data Specialist,EN,52000,US
Data Engineer,MI,80000,US
Data Engineer,MI,80000,US
Data Analyst,EN,100000,US
Data Analyst,EN,85000,US
Data Architect,SE,39157,SK
Data Architect,SE,39157,SK
Machine Learning Engineer,MI,169050,US
Machine Learning Engineer,MI,124950,US
Data Scientist,SE,173240,US
Data Scientist,SE,156160,US
Data Scientist,MI,139475,US
Data Scientist,MI,125724,US
Data Scientist,SE,271910,US
Data Scientist,SE,164850,US
Data Engineer,SE,140000,US
Data Engineer,SE,90732,US
Data Engineer,SE,200700,US
Data Engineer,SE,120400,US
Data Engineer,SE,237908,US
Data Engineer,SE,175845,US
Data Operations,SE,275600,US
Data Operations,SE,165400,US
Data Operations,EX,168500,US
Data Operations,EX,124500,US
Data Governance Analyst,EN,94750,US
Data Governance Analyst,EN,67100,US
Data Analyst,SE,120000,US
Data Analyst,SE,95000,US
Data Modeler,MI,154810,US
Data Modeler,MI,144810,US
Data Engineer,SE,159000,US
Data Engineer,SE,132500,US
Data Analyst,MI,127800,US
Data Analyst,MI,95300,US
Data Scientist,SE,232900,US
Data Scientist,SE,130800,US
Data Analyst,EN,180379,GB
Data Analyst,EN,142405,GB
